user_id,song_id,rating
1,1,5
1,86,5
1,76,5
1,6,4
1,41,4
1,26,5
1,56,5
1,16,5
2,87,5
2,7,4
2,27,5
2,2,5
2,52,5
2,37,5
2,22,4
2,62,5
3,68,4
3,78,5
3,23,5
3,43,5
3,48,5
3,88,5
3,28,5
3,53,5
4,89,4
4,14,4
4,29,4
4,64,4
4,19,4
4,4,4
4,49,4
4,94,5
5,95,5
5,50,4
5,70,4
5,30,5
5,45,5
5,20,4
5,85,4
5,10,5
6,51,5
6,6,5
6,16,4
6,96,4
6,56,4
6,61,5
6,26,4
6,41,4
7,37,5
7,47,5
7,2,5
7,42,5
7,87,5
7,67,5
7,7,5
7,57,5
8,58,5
8,8,5
8,73,4
8,38,4
8,23,5
8,83,5
8,48,5
8,28,5
9,74,4
9,29,5
9,19,4
9,54,4
9,79,4
9,99,5
9,64,5
9,49,4
10,50,5
10,45,4
10,35,4
10,75,5
10,70,5
10,15,4
10,100,5
10,65,4
11,51,5
11,21,5
11,16,5
11,96,4
11,56,5
11,26,5
11,66,4
11,61,5
12,92,5
12,7,5
12,67,5
12,87,5
12,37,5
12,97,4
12,27,5
12,17,5
13,33,5
13,83,4
13,38,4
13,93,5
13,73,4
13,48,5
13,23,5
13,78,5
14,34,5
14,49,4
14,69,5
14,84,4
14,94,5
14,74,4
14,44,4
14,19,5
15,40,5
15,80,5
15,95,4
15,50,5
15,60,4
15,30,5
15,45,4
15,55,4
16,61,5
16,66,4
16,71,5
16,86,4
16,16,5
16,21,5
16,76,5
16,91,5
17,92,5
17,22,4
17,37,5
17,87,5
17,62,5
17,77,4
17,17,4
17,2,5
18,43,4
18,23,5
18,98,4
18,58,5
18,68,4
18,53,4
18,78,4
18,88,5
19,49,5
19,84,5
19,19,4
19,14,4
19,89,5
19,54,4
19,64,4
19,59,5
20,45,5
20,40,4
20,10,5
20,15,5
20,55,5
20,30,4
20,5,5
20,95,5
21,66,4
21,26,4
21,86,4
21,56,5
21,41,4
21,11,4
21,81,4
21,46,5
22,37,5
22,97,4
22,17,4
22,27,4
22,42,5
22,22,5
22,92,4
22,2,5
23,98,4
23,78,4
23,33,4
23,68,4
23,73,4
23,28,5
23,93,4
23,8,4
24,54,4
24,49,4
24,4,5
24,39,4
24,29,4
24,24,5
24,9,4
24,74,4
25,100,5
25,30,4
25,60,5
25,85,5
25,5,4
25,20,5
25,40,4
25,80,5
26,41,4
26,71,5
26,76,5
26,96,4
26,56,4
26,51,5
26,86,5
26,46,4
27,27,5
27,82,4
27,52,4
27,77,5
27,72,4
27,22,5
27,92,4
27,2,5
28,88,5
28,33,4
28,83,4
28,38,4
28,8,4
28,3,5
28,48,5
28,43,4
29,94,5
29,14,5
29,4,4
29,69,5
29,34,4
29,44,4
29,84,4
29,9,4
30,50,4
30,20,5
30,5,4
30,55,5
30,35,4
30,90,5
30,40,5
30,60,4
31,36,4
31,46,4
31,86,4
31,71,4
31,66,5
31,91,5
31,56,4
31,16,4
32,52,4
32,77,4
32,47,5
32,22,5
32,27,4
32,92,5
32,32,5
32,87,4
33,3,4
33,58,4
33,48,4
33,98,4
33,43,5
33,63,5
33,18,4
33,38,5
34,14,4
34,34,5
34,44,4
34,29,4
34,9,5
34,79,4
34,59,4
34,69,4
35,65,5
35,35,5
35,70,4
35,5,5
35,30,4
35,50,5
35,60,4
35,25,4
36,81,5
36,16,5
36,36,4
36,21,5
36,11,4
36,26,4
36,76,4
36,31,5
37,17,5
37,92,5
37,2,4
37,22,4
37,57,4
37,27,5
37,42,4
37,82,4
38,73,5
38,38,4
38,78,5
38,98,5
38,53,4
38,13,5
38,8,5
38,68,4
39,14,5
39,69,4
39,84,5
39,99,5
39,64,5
39,34,4
39,4,5
39,79,5
40,85,4
40,50,4
40,35,5
40,65,5
40,95,4
40,75,4
40,5,5
40,100,4
41,61,5
41,51,5
41,41,4
41,36,5
41,31,5
41,6,5
41,76,4
41,66,4
42,77,4
42,67,4
42,47,5
42,87,5
42,7,4
42,57,4
42,17,4
42,62,5
43,98,4
43,33,5
43,48,5
43,3,5
43,18,4
43,8,5
43,28,5
43,88,5
44,64,5
44,54,5
44,19,5
44,49,4
44,99,4
44,59,4
44,14,4
44,84,5
45,70,4
45,50,4
45,80,4
45,60,5
45,40,4
45,15,5
45,75,5
45,45,5
46,91,5
46,31,5
46,86,5
46,1,5
46,26,5
46,46,4
46,66,4
46,41,5
47,32,4
47,27,5
47,12,4
47,82,4
47,87,5
47,72,5
47,92,4
47,22,5
48,8,4
48,63,5
48,73,5
48,38,4
48,78,4
48,13,5
48,58,4
48,98,4
49,64,4
49,49,4
49,79,4
49,44,5
49,24,5
49,19,5
49,59,5
49,39,4
50,55,5
50,10,5
50,75,4
50,90,4
50,15,4
50,65,4
50,25,5
50,50,5
